id,status,notification,division_id,sportshall_id,planned_at,planned_orig_at,season_id,delayed_request,delayed_status,delayed_prop_at,delayed_prop_count,team1_id,team2_id,score1,score2,score3,score4,forfeit,forfeit_at,created_at,updated_at
96586,3,1,786,319,2024-09-24 21:00:00,,2024,0,0,,0,676,491,9,3,0,0,0,,2024-08-17 14:25:31,2024-09-25 12:21:03
96587,3,1,786,689,2024-09-25 22:00:00,,2024,0,0,,0,1903,1904,14,6,0,0,0,,2024-08-17 14:25:31,2024-09-27 23:34:51
96588,3,1,786,335,2024-11-11 16:00:00,2024-09-27 20:00:00,2024,0,0,,0,1367,2048,5,4,0,0,0,,2024-08-17 14:25:31,2024-11-14 16:34:36
96589,3,1,786,334,2024-09-29 21:00:00,,2024,0,0,,0,496,1588,8,2,0,0,0,,2024-08-17 14:25:31,2024-10-21 19:34:36
96590,3,1,786,330,2024-09-29 19:00:00,,2024,0,0,,0,1930,2152,5,0,0,0,1,2024-09-29 20:36:32,2024-08-17 14:25:31,2024-09-29 20:36:32
96591,3,1,786,699,2024-09-30 22:00:00,,2024,0,0,,0,1933,491,2,0,0,0,0,,2024-08-17 14:25:31,2024-10-01 08:20:43
96592,3,1,786,699,2024-10-02 22:00:00,,2024,0,0,,0,1903,1929,5,6,0,0,0,,2024-08-17 14:25:31,2024-10-03 12:31:50
96593,3,1,786,337,2024-10-04 22:00:00,,2024,0,0,,0,1904,1588,8,9,0,0,0,,2024-08-17 14:25:31,2024-10-05 19:29:40
96594,3,1,786,644,2024-10-07 22:00:00,,2024,0,0,,0,2048,1367,9,5,0,0,0,,2024-08-17 14:25:31,2024-10-08 20:28:51
96595,3,1,786,319,2024-10-08 21:00:00,,2024,0,0,,0,676,1930,5,6,0,0,0,,2024-08-17 14:25:31,2024-10-09 09:09:20
96597,3,1,786,330,2024-10-13 19:00:00,,2024,0,0,,0,1930,1367,11,4,0,0,0,,2024-08-17 14:25:31,2024-10-16 08:41:00
96598,3,1,786,334,2024-10-13 21:00:00,,2024,0,0,,0,496,1933,6,7,0,0,0,,2024-08-17 14:25:31,2024-10-21 19:43:31
96599,0,0,786,337,2024-12-13 22:00:00,2024-12-13 22:00:00,2024,0,0,,0,1929,1904,0,0,0,0,0,,2024-08-17 14:25:31,2024-11-26 13:58:31
96600,3,1,786,312,2024-10-14 22:00:00,,2024,0,0,,0,1588,2048,3,5,0,0,0,,2024-08-17 14:25:31,2024-10-16 22:11:23
